x,y,tam
43375159,446414310,47
43383416,446413751,53
43361340,446388849,58
43361340,446388849,58
43361340,446388849,58
43356327,446388788,58
43356327,446388788,58
43356327,446388788,58
43381145,446410184,59
43381145,446410184,59
43319443,446290714,60
43365393,446385899,61
43365393,446385899,61
43365393,446385899,61
43365393,446385899,61
43375159,446414310,61
43376574,446407507,70
43376574,446407507,70
43376574,446407507,70
43381145,446410184,74
43381145,446410184,74
43376574,446407507,74
43329666,446285658,75
43374694,446408613,77
43371304,446411047,77
43371304,446411047,80
43375159,446414310,80
43375159,446414310,80
43375159,446414310,80
43375159,446414310,80
43312486,446274717,80
43382409,446411791,82
43382409,446411791,82
43382409,446411791,82
43382409,446411791,82
43371304,446411047,82
43374694,446408613,83
43374694,446408613,83
43382409,446411791,84
43371304,446411047,85
43376574,446407507,86
43376574,446407507,86
43376574,446407507,86
43376574,446407507,86
43375159,446414310,86
43375159,446414310,86
43375159,446414310,86
43376574,446407507,87
43376574,446407507,87
43376574,446407507,87
43375159,446414310,87
43365393,446385899,88
43365393,446385899,88
43365393,446385899,88
43365393,446385899,88
43376574,446407507,88
43376574,446407507,88
43376574,446407507,88
43376574,446407507,88
43382409,446411791,89
43382409,446411791,89
43382409,446411791,89
43382409,446411791,91
43382409,446411791,91
43382409,446411791,91
43382409,446411791,91
43371304,446411047,91
43365393,446385899,93
43365393,446385899,93
43365393,446385899,93
43365393,446385899,93
43361340,446388849,94
43382409,446411791,95
43376574,446407507,95
43376574,446407507,95
43376574,446407507,95
43374694,446408613,95
43374694,446408613,95
43374694,446408613,95
43312486,446274717,96
43312486,446274717,96
43312486,446274717,96
43376574,446407507,97
43374694,446408613,97
43356327,446388788,97
43371304,446411047,98
43371304,446411047,99
43281324,446299199,99
43301694,446299480,99
43301694,446299480,100
43301694,446299480,100
43375159,446414310,101
43375159,446414310,101
43375159,446414310,102
43375159,446414310,102
43281324,446299199,102
43301694,446299480,102
43372960,446409966,104
43372960,446409966,104
43372960,446409966,104
43372960,446409966,104
43372960,446409966,104
43372960,446409966,104
43371304,446411047,104
43312486,446274717,104
43312486,446274717,104
43312486,446274717,104
43312486,446274717,104
43312486,446274717,104
43312486,446274717,104
43312486,446274717,104
43317790,446305214,104
43317790,446305214,104
43323274,446269899,104
43281324,446299199,104
43281324,446299199,104
43281324,446299199,104
43281324,446299199,104
43281324,446299199,104
43301694,446299480,104
43301694,446299480,104
43301694,446299480,104
43301694,446299480,104
43301694,446299480,104
43317790,446305214,105
43301694,446299480,105
43301694,446299480,105
43301694,446299480,105
43301694,446299480,105
43317790,446305214,106
43317790,446305214,106
43316919,446335112,106
43281324,446299199,106
43281324,446299199,106
43281324,446299199,106
43281324,446299199,106
43281324,446299199,106
43301694,446299480,106
43301694,446299480,106
43301694,446299480,106
43382409,446411791,107
43382409,446411791,107
43382409,446411791,107
43316919,446335112,107
43328853,446329314,107
43329666,446285658,107
43312486,446274717,108
43312486,446274717,108
43312486,446274717,108
43312486,446274717,108
43312486,446274717,108
43312486,446274717,108
43312486,446274717,108
43301694,446299480,108
43319443,446290714,108
43382409,446411791,109
43374694,446408613,109
43374694,446408613,109
43374694,446408613,109
43374694,446408613,109
43374694,446408613,109
43374694,446408613,109
43372960,446409966,109
43372960,446409966,109
43372960,446409966,109
43372960,446409966,109
43372960,446409966,109
43372960,446409966,109
43312486,446274717,109
43312486,446274717,109
43312486,446274717,109
43312486,446274717,109
43312486,446274717,109
43312486,446274717,109
43281324,446299199,109
43376574,446407507,110
