x,y,tipo,tamanyo
43478900,446442814,C,67
43478900,446442814,C,86
43478900,446442814,C,239
43478900,446442814,C,181
43526954,446432525,C,33
43526954,446432525,C,44
43526954,446432525,C,42
43526954,446432525,C,35
43526954,446432525,C,39
43526954,446432525,C,43
43526954,446432525,C,41
43526954,446432525,C,37
43526954,446432525,C,50
43526954,446432525,C,38
43526954,446432525,C,37
43526954,446432525,C,37
43526954,446432525,C,43
43526954,446432525,C,51
43526954,446432525,C,18
43519781,446447222,C,255
43519781,446447222,C,302
43519781,446447222,C,1885
43519774,446443840,C,75
43519774,446443840,C,82
43519774,446443840,C,99
43519774,446443840,C,143
43519774,446443840,C,129
43519774,446443840,C,162
43519774,446443840,C,56
43519774,446443840,C,177
43519774,446443840,C,94
43519774,446443840,O,79
43519774,446443840,O,72
43519774,446443840,O,124
43519774,446443840,C,12
43525226,446443414,C,53
43525226,446443414,C,26
43525226,446443414,C,30
43523863,446442348,C,48
43518036,446439997,R,206
43518036,446439997,R,84
43518036,446439997,R,70
43518036,446439997,R,85
43513440,446438738,C,162
43513440,446438738,C,267
43513345,446437400,C,126
43515548,446441320,O,60
43516178,446441854,C,296
43526275,446446457,C,231
43526275,446446457,C,255
43526275,446446457,C,129
43526757,446444327,I,68
43522310,446464651,C,72
43522310,446464651,C,72
43522582,446465648,C,132
43522931,446466359,C,260
43523781,446464284,C,52
43523781,446464284,C,46
43523781,446464284,C,56
43523781,446464284,C,67
43523781,446464284,C,44
43523781,446464284,C,46
43523781,446464284,C,108
43523781,446464284,C,46
43523781,446464284,C,48
43523781,446464284,C,40
43523781,446464284,C,17
43523781,446464284,C,31
43523781,446464284,C,31
43523781,446464284,C,54
43523781,446464284,C,40
43523781,446464284,C,50
43523781,446464284,C,38
43523781,446464284,C,86
43523781,446464284,C,40
43523781,446464284,C,40
43523781,446464284,C,38
43523781,446464284,C,44
43523781,446464284,C,42
43523781,446464284,C,63
43523781,446464284,C,38
43523781,446464284,C,42
43523781,446464284,C,42
43523781,446464284,C,48
43523781,446464284,C,42
43523781,446464284,C,38
43523781,446464284,C,36
43523781,446464284,C,36
43523781,446464284,C,38
43523781,446464284,C,38
43523781,446464284,C,40
43523781,446464284,C,40
43523781,446464284,C,40
43523781,446464284,C,62
43523781,446464284,C,38
43523781,446464284,C,44
43523781,446464284,C,50
43523781,446464284,C,46
43523781,446464284,C,38
43523781,446464284,C,42
43523781,446464284,C,42
43523781,446464284,C,44
43523781,446464284,C,42
43523781,446464284,C,38
43523781,446464284,C,40
43523781,446464284,C,42
43523781,446464284,C,42
43523781,446464284,C,40
43523781,446464284,C,40
43523781,446464284,C,40
43523781,446464284,C,157
43523781,446464284,C,76
43523781,446464284,C,370
43523781,446464284,O,122
43523781,446464284,C,78
43523781,446464284,C,95
43523781,446464284,C,87
43523781,446464284,O,161
43523781,446464284,C,139
43523781,446464284,C,139
43523781,446464284,C,51
43523781,446464284,C,176
43521041,446455153,C,172
43521041,446455153,C,131
43521041,446455153,C,135
43521041,446455153,Y,86
43521041,446455153,C,274
43522830,446454587,C,149
43521405,446451382,C,81
43521405,446451382,C,104
43521405,446451382,O,114
43521405,446451382,C,85
43521405,446451382,C,43
43521405,446451382,C,66
43521405,446451382,C,38
43521405,446451382,O,97
43521405,446451382,C,151
43524307,446452532,C,80
43524307,446452532,C,22
43524307,446452532,C,71
43517749,446450393,O,58
43517749,446450393,O,25
43519101,446450224,C,152
43526439,446450666,C,100
43526439,446450666,K,159
43526439,446450666,C,37
43526439,446450666,C,163
43526439,446450666,C,116
43529846,446450029,C,272
43529846,446450029,C,100
43529846,446450029,C,101
43529846,446450029,C,108
43529846,446450029,C,45
43529846,446450029,C,2
43525870,446449420,C,41
43519924,446469056,C,50
43519924,446469056,C,58
43519924,446469056,C,58
43519924,446469056,C,52
43519924,446469056,C,50
43519924,446469056,C,175
43520347,446467327,C,108
43520347,446467327,C,115
43519309,446466177,C,257
43519309,446466177,O,64
43526432,446485084,C,189
43526432,446485084,C,26
43526432,446485084,C,30
43526432,446485084,C,102
43526432,446485084,C,32
43526432,446485084,C,37
43526432,446485084,C,28
43526432,446485084,C,12
43526432,446485084,C,27
43526432,446485084,C,33
43526432,446485084,C,32
43526432,446485084,C,58
43526432,446485084,C,32
43526432,446485084,C,47
43526432,446485084,C,31
43526432,446485084,C,38
43526432,446485084,C,30
43526432,446485084,C,75
43526432,446485084,C,105
43526432,446485084,C,75
43524120,446476690,C,48
43524120,446476690,C,39
43524120,446476690,C,49
43524120,446476690,C,40
43524120,446476690,C,35
43524120,446476690,C,52
43524120,446476690,C,49
43522145,446473890,G,1557
43522317,446471825,O,104
43522317,446471825,O,53
43519277,446474440,G,2420
43517086,446474112,C,80
43517086,446474112,C,116
43514896,446474096,C,82
43514896,446474096,C,223
43514896,446474096,C,250
43514896,446474096,C,44
43514896,446474096,C,27
43514896,446474096,C,411
43512268,446474899,C,100
43512268,446474899,C,53
43512268,446474899,E,85
43512268,446474899,C,79
43514422,446476463,C,48
43514422,446476463,C,25
43515715,446477168,C,176
43515715,446477168,C,169
43448341,446403193,C,35
43447923,446401707,C,35
43447691,446400244,C,35
43447273,446398782,C,35
43446994,446397388,C,35
43443661,446406496,C,61
43445246,446417755,C,35
43445246,446417755,C,43
43445246,446417755,C,38
43445246,446417755,C,51
43445246,446417755,C,1229
43445246,446417755,C,131
43446416,446411389,C,59
43446416,446411389,C,57
43446416,446411389,C,65
43446416,446411389,C,83
43445522,446410455,O,32
43445522,446410455,C,61
43445522,446410455,C,81
43445522,446410455,C,64
43445522,446410455,C,38
43445522,446410455,C,67
43442455,446416869,C,86
43442455,446416869,C,65
43442455,446416869,C,66
43443657,446415456,C,49
43443657,446415456,C,59
43443657,446415456,C,20
43443657,446415456,C,72
43444032,446413743,C,58
43444032,446413743,C,59
43442064,446414480,C,87
43442064,446414480,O,94
43442064,446414480,C,70
43442064,446414480,C,87
43442064,446414480,C,70
43442064,446414480,C,45
43442064,446414480,C,71
43440569,446428006,C,130
43441917,446423063,C,65
43441917,446423063,C,32
43441917,446423063,C,33
43441275,446421330,C,196
43441275,446421330,C,42
43439414,446420848,C,77
43439414,446420848,C,39
43439414,446420848,C,81
43439414,446420848,C,42
43444089,446429091,C,189
43444089,446429091,C,71
43444089,446429091,C,62
43444916,446429979,C,160
43445618,446430143,C,91
43446969,446430239,C,91
43446969,446430239,C,23
43446685,446425420,C,47
43446685,446425420,C,92
43446685,446425420,C,108
43444624,446425212,C,67
43444204,446427212,C,80
43444204,446427212,C,87
43444204,446427212,C,82
43444204,446427212,C,85
43446594,446421561,C,118
43447227,446422473,C,160
43447227,446422473,C,77
43447227,446422473,C,64
43447227,446422473,C,59
43450299,446421301,O,100
43449312,446419104,C,79
43449312,446419104,C,79
43449312,446419104,C,74
43449312,446419104,C,74
43448605,446420761,C,186
43447358,446420761,C,85
43447358,446420761,C,85
43446227,446435113,C,36
43446227,446435113,C,65
43446227,446435113,C,51
43440313,446431257,O,59
43440313,446431257,C,22
43440313,446431257,O,63
43440313,446431257,C,90
43440313,446431257,C,50
43440313,446431257,C,62
43476280,446472733,C,37
43476280,446472733,C,85
43476280,446472733,C,57
43476280,446472733,C,59
43476280,446472733,C,107
43476280,446472733,C,74
43476280,446472733,C,71
43476280,446472733,C,92
43518190,446477897,C,39
43518190,446477897,C,41
43519235,446479565,C,48
43519235,446479565,C,93
43519235,446479565,C,92
43521481,446477412,C,44
43521481,446477412,C,107
43521481,446477412,C,111
43521481,446477412,O,64
43521481,446477412,C,100
