d2;
92;86
85;93
105;76
85;98
93;88
94;81
90;103
98;83
106;94
85;89
112;90
95;91
103;79
90;102
73;78
87;86
96;89
79;88
91;90
95;87
94;88
126;100
92;112
110;92
115;113
108;120
125;140
129;134
135;137
149;123
132;159
138;133
152;156
141;158
132;159
147;167
146;153
161;141
178;165
162;170
175;185
194;194
191;171
201;169
184;172
192;145
143;155
171;150
169;152
138;161
159;166
128;150
132;145
109;153
138;153
128;122
123;128
139;161
128;121
111;120
103;132
111;127
101;106
88;112
88;118
99;117
88;117
93;116
115;130
95;153
154;195
126;184
129;211
150;217
131;205
160;213
126;164
133;129
172;189
78;94
97;102
76;98
89;115
83;92
43;81
59;56
37;68
34;66
38;62
27;43
16;43
20;24
10;22
7;16
8;24
17;51
