id_hog,id_per,id_via,sexo,trabajo,carnet,hora_ini,hora_fin,mot_origen,mot_destino,vehiculo,distancia,edad,num_veh,num_miembros_fam,num_adultos,pueblo_dest,pueblo_orig
119776,1,1,2,1,4,900,920,1,2,11,11.65738242,31,1,1,1,006,074
119776,1,2,2,1,4,1400,1420,2,1,11,11.65738242,31,1,1,1,074,006
123733,1,1,1,1,5,700,710,1,2,11,2.518302678,55,5,1,1,007,074
123733,1,2,1,1,5,1810,1815,2,1,11,2.518302678,55,5,1,1,074,007
126152,1,1,1,1,4,620,640,1,2,11,4.93501543,57,1,1,1,092,074
126152,1,2,1,1,4,1845,1905,2,1,11,4.93501543,57,1,1,1,074,092
126357,1,-1,2,1,1,-1,-1,-1,-1,-1,-1,38,0,1,1,,
131050,1,-1,1,1,4,-1,-1,-1,-1,-1,-1,38,1,1,1,,
143543,1,1,1,1,1,750,820,1,2,2,1.775209031,40,0,1,1,074,074
143543,1,2,1,1,1,1600,1625,2,1,2,1.775209031,40,0,1,1,074,074
147973,1,1,2,2,4,715,800,1,2,1,17.8611965,55,0,1,1,079,074
147973,1,2,2,2,4,1500,1700,2,1,1,17.8611965,55,0,1,1,074,079
147973,1,3,2,2,4,1715,1730,1,4,3,1.983961778,55,0,1,1,074,074
147973,1,4,2,2,4,1930,2000,4,1,24,1.983961778,55,0,1,1,074,074
153898,1,1,2,1,4,900,1010,1,2,4,10.22014149,49,1,1,1,115,074
153898,1,2,2,1,4,1400,1515,2,1,4,10.22014149,49,1,1,1,074,115
164053,1,1,2,1,4,630,730,1,2,1,15.05501628,59,1,1,1,079,074
164053,1,2,2,1,4,1600,1700,2,1,1,15.05501628,59,1,1,1,074,079
164080,1,1,1,1,1,800,900,1,2,4,6.78346459,40,0,1,1,058,074
164080,1,2,1,1,1,1700,1800,2,1,4,6.78346459,40,0,1,1,074,058
164080,1,3,1,1,1,1900,1920,1,5,24,0.482643536,40,0,1,1,074,074
164080,1,4,1,1,1,2000,2015,5,1,24,0.482643536,40,0,1,1,074,074
167298,1,1,1,1,4,1100,1220,1,10,4,15.64890221,49,0,1,1,079,074
167298,1,2,1,1,4,1330,1410,10,1,4,15.64890221,49,0,1,1,074,079
167298,1,3,1,1,4,1445,1455,1,6,24,0.495610634,49,0,1,1,074,074
167298,1,4,1,1,4,1550,1600,6,1,24,0.495610634,49,0,1,1,074,074
168198,1,1,1,1,4,800,900,1,2,11,24.34761821,31,1,1,1,148,074
168198,1,2,1,1,4,1800,1845,2,1,11,24.34761821,31,1,1,1,074,148
177227,1,1,1,1,4,800,900,1,2,11,13.5105671,51,1,1,1,079,074
177227,1,2,1,1,4,1800,1900,2,1,11,13.5105671,51,1,1,1,074,079
469724,1,1,2,1,4,1100,1135,1,2,1,16.65052394,38,1,1,1,079,074
469724,1,2,2,1,4,1325,1400,2,1,1,16.65052394,38,1,1,1,074,079
470303,1,1,1,1,1,1300,1400,1,2,1,16.50573817,24,0,1,0,079,074
470303,1,2,1,1,1,1800,1900,2,1,1,16.50573817,24,0,1,0,074,079
472216,1,1,2,1,4,630,640,1,2,11,1.876477037,26,1,1,1,074,074
472216,1,2,2,1,4,1700,1730,2,9,11,6.525225252,26,1,1,1,065,074
472216,1,3,2,1,4,2000,2030,9,1,11,4.741265662,26,1,1,1,074,065
477122,1,1,2,1,1,1000,1100,1,2,1,16.11082745,33,0,1,1,079,074
477122,1,2,2,1,1,1300,1400,2,1,1,16.11082745,33,0,1,1,074,079
480048,1,1,2,1,1,800,845,1,2,1,12.8351941,50,0,1,1,079,074
480048,1,2,2,1,1,1900,1945,2,1,1,12.8351941,50,0,1,1,074,079
484828,1,1,1,1,4,1500,1530,10,2,11,150.4860223,62,1,1,1,074,005
488440,1,1,1,1,1,630,800,1,2,2,10.96368559,34,0,1,1,079,074
488440,1,2,1,1,1,1400,1500,2,1,2,10.96368559,34,0,1,1,074,079
488440,1,3,1,1,1,1800,1805,1,5,24,0.032009159,34,0,1,1,074,074
488440,1,4,1,1,1,1815,1830,5,1,24,0.032009159,34,0,1,1,074,074
499880,1,1,1,1,4,830,855,1,2,11,14.38220622,31,1,1,1,079,074
499880,1,2,1,1,4,1900,1930,2,1,11,14.38220622,31,1,1,1,074,079
501785,1,1,1,1,4,730,745,1,2,11,2.015161335,42,1,1,1,074,074
501785,1,2,1,1,4,1800,1815,2,1,11,2.015161335,42,1,1,1,074,074
517454,1,1,1,1,4,750,800,1,2,12,1.143096441,51,1,1,1,074,074
517454,1,2,1,1,4,2030,2040,2,1,12,1.143096441,51,1,1,1,074,074
519777,1,1,1,1,4,700,800,1,2,4,13.09182811,45,1,1,1,115,074
519777,1,2,1,1,4,1500,1600,2,1,4,13.09182811,45,1,1,1,074,115
521588,1,1,2,1,4,845,900,1,2,24,1.121719569,24,0,1,0,074,074
521588,1,2,2,1,4,1500,1515,2,1,24,1.121719569,24,0,1,0,074,074
522040,1,1,2,1,4,810,900,1,2,11,13.41242953,53,1,1,1,079,074
522040,1,2,2,1,4,1830,1920,2,1,11,13.41242953,53,1,1,1,074,079
526751,1,1,2,1,4,1315,1330,1,2,11,2.665892148,42,1,1,1,065,074
526751,1,2,2,1,4,2045,2100,2,1,11,2.665892148,42,1,1,1,074,065
527726,1,1,2,1,4,1000,1015,1,5,11,3.421042065,36,1,1,1,065,074
527726,1,2,2,1,4,2130,2145,5,1,11,3.421042065,36,1,1,1,074,065
528956,1,1,1,1,3,1700,1710,1,5,11,1.687495813,36,1,1,1,074,074
528956,1,2,1,1,3,1830,1840,5,1,11,1.687495813,36,1,1,1,074,074
529084,1,1,2,1,4,745,800,1,2,11,13.31633309,40,1,1,1,079,074
529084,1,2,2,1,4,1400,1415,2,9,11,16.51472531,40,1,1,1,074,079
529084,1,3,2,1,4,1545,1600,9,2,11,16.51472531,40,1,1,1,079,074
529084,1,4,2,1,4,1800,1815,2,9,11,16.51472531,40,1,1,1,074,079
529084,1,5,2,1,4,1945,2000,9,1,11,4.768018213,40,1,1,1,074,074
530475,1,1,2,1,4,830,845,1,2,11,7.29427792,37,1,1,1,079,074
530475,1,2,2,1,4,2030,2045,2,1,11,7.29427792,37,1,1,1,074,079
532141,1,-1,2,1,4,-1,-1,-1,-1,-1,-1,39,1,1,1,,
534478,1,1,1,1,4,730,830,1,2,11,25.28605793,33,1,1,1,079,074
534478,1,2,1,1,4,1800,1900,2,1,11,25.28605793,33,1,1,1,074,079
556937,1,1,2,1,4,630,730,1,2,2,11.13809209,58,0,1,1,079,074
556937,1,2,2,1,4,1430,1530,2,1,2,11.13809209,58,0,1,1,074,079
569358,1,1,2,1,4,730,745,1,2,11,2.250821868,57,1,1,1,074,074
569358,1,2,2,1,4,1445,1500,2,1,11,2.250821868,57,1,1,1,074,074
569358,1,3,2,1,4,1930,2000,1,1,24,0,57,1,1,1,074,074
569736,1,1,1,1,4,1830,1840,1,8,24,0.993138967,26,0,1,1,074,074
569736,1,2,1,1,4,2200,2210,8,1,24,0.993138967,26,0,1,1,074,074
575940,1,1,1,1,5,800,810,1,2,11,5.446362554,29,2,1,1,079,074
575940,1,2,1,1,5,1900,1920,2,1,11,5.446362554,29,2,1,1,074,079
603899,1,1,2,1,4,915,930,1,2,11,2.862893589,39,1,1,1,074,074
603899,1,2,2,1,4,1930,1945,2,1,11,2.862893589,39,1,1,1,074,074
603899,1,3,2,1,4,2015,2030,1,5,11,2.935214082,39,1,1,1,074,074
603899,1,4,2,1,4,2200,2220,5,1,11,2.935214082,39,1,1,1,074,074
607487,1,1,1,1,4,800,820,1,2,12,9.839901736,43,1,1,1,113,074
607487,1,2,1,1,4,2100,2125,2,1,12,9.839901736,43,1,1,1,074,113
611404,1,1,2,1,4,1800,1830,1,2,11,22.92555784,30,1,1,1,005,074
611404,1,2,2,1,4,2330,2355,2,1,11,22.92555784,30,1,1,1,074,005
614532,1,1,2,1,4,1300,1340,1,2,1,10.228956,47,1,1,1,079,074
614532,1,2,2,1,4,1600,1645,2,1,1,10.228956,47,1,1,1,074,079
