x,y,tam
43591583,446354879,33
43583688,446360765,37
43583688,446360765,37
43593380,446361808,38
43583688,446360765,38
43583688,446360765,38
43583688,446360765,38
43583688,446360765,38
43581223,446366663,40
43583167,446375113,41
43573045,446362454,42
43594076,446358245,43
43587284,446354703,44
43590576,446370736,44
43591425,446370162,44
43594968,446367555,44
43581425,446374421,44
43579307,446361638,44
43579307,446361638,44
43579307,446361638,44
43579307,446361638,44
43579307,446361638,44
43579307,446361638,44
43583688,446360765,44
43583688,446360765,44
43583688,446360765,44
43588605,446354495,45
43581105,446362299,45
43581105,446362299,45
43581105,446362299,45
43593380,446361808,46
43593380,446361808,46
43589910,446359237,46
43579307,446361638,46
43592898,446356855,47
43592221,446369595,47
43587284,446354703,48
43594706,446357403,48
43577631,446362110,48
43568379,446359920,48
43585971,446362316,48
43659645,446640774,49
43585971,446362316,49
43593424,446358735,50
43588914,446358056,50
43585971,446362316,50
43633913,446630455,51
43597015,446352621,51
43597015,446352621,51
43581223,446366663,51
43581223,446366663,51
43584720,446362593,51
43585241,446366799,51
43589195,446371740,51
43633913,446630455,52
43587284,446354703,52
43594076,446358245,52
43597015,446352621,52
43581223,446366663,52
43585241,446366799,52
43583688,446360765,52
43583688,446360765,52
43592100,446354861,53
43587284,446354703,53
43593380,446361808,53
43596043,446351554,53
43579251,446366003,53
43597279,446355745,53
43693191,446536378,54
43598036,446364481,54
43598036,446364481,54
43581223,446366663,54
43568379,446359920,54
43568379,446359920,54
43597015,446352621,55
43589910,446359237,55
43589910,446359237,55
43589910,446359237,55
43584720,446362593,55
43594968,446367555,55
43589233,446362185,56
43583027,446370493,56
43583027,446370493,56
43574789,446361681,56
43592221,446369595,56
43592100,446354861,57
43592100,446354861,57
43587284,446354703,57
43587284,446354703,57
43587284,446354703,57
43594706,446357403,57
43594076,446358245,57
43586916,446356789,57
43572120,446363099,57
43572120,446363099,57
43568379,446359920,57
43594894,446354010,58
43571823,446357735,58
43586916,446356789,58
43583027,446370493,58
43590576,446370736,58
43590576,446370736,58
43590576,446370736,58
43591425,446370162,58
43572957,446365471,58
43572957,446365471,58
43572957,446365471,58
43654221,446640389,59
43654221,446640389,59
43654221,446640389,59
43576794,446362492,59
43576794,446362492,59
43576388,446363416,59
43578475,446359492,59
43594968,446367555,59
43594968,446367555,59
43581425,446374421,59
43581425,446374421,59
43575106,446364196,59
43575106,446364196,59
43671132,446600508,60
43593380,446361808,60
43598036,446364481,60
43575169,446370621,60
43575169,446370621,60
43575169,446370621,60
43582032,446366370,60
43572120,446363099,60
43572120,446363099,60
43591425,446370162,60
43591425,446370162,60
43575106,446364196,60
43568379,446359920,60
43588914,446358056,60
43659645,446640774,61
43659645,446640774,61
43659645,446640774,61
43591583,446354879,61
43595108,446359239,61
43595108,446359239,61
43589910,446359237,61
43582032,446366370,61
43581555,446369630,61
43654221,446640389,62
43592898,446356855,62
43592100,446354861,62
43581223,446366663,62
43581425,446374421,62
43581425,446374421,62
43593346,446355621,62
43583688,446360765,62
43583688,446360765,62
43713772,446579541,63
43633913,446630455,63
43633913,446630455,63
43575169,446370621,63
43581223,446366663,63
43578475,446359492,63
43584910,446354009,63
43568379,446359920,63
43594706,446357403,64
43589233,446362185,64
43594968,446367555,64
43594968,446367555,64
43581425,446374421,64
43583688,446360765,64
43583688,446360765,64
43594706,446357403,65
43594706,446357403,65
43597015,446352621,65
43579734,446363621,65
43573045,446362454,65
43574789,446361681,65
43592221,446369595,65
43585971,446362316,65
43585971,446362316,65
43693191,446536378,66
43593346,446355621,66
43590753,446356170,66
43590753,446356170,66
43581555,446369630,66
43568379,446359920,66
43568379,446359920,66
43579307,446361638,66
43583688,446360765,66
43597015,446352621,67
43598036,446364481,67
43580011,446360527,67
43573045,446362454,67
43582301,446375799,67
43568379,446359920,67
43568379,446359920,67
43588914,446358056,67
43579307,446361638,67
43585971,446362316,67
43633913,446630455,68
43597015,446352621,68
43583450,446367881,68
43582597,446368461,68
43593346,446355621,68
43659645,446640774,69
43659645,446640774,69
43659645,446640774,69
43659645,446640774,69
43659645,446640774,69
43659645,446640774,69
43659645,446640774,69
43659645,446640774,69
43659645,446640774,69
43659645,446640774,69
43659645,446640774,69
43659645,446640774,69
43659645,446640774,69
43659645,446640774,69
43659645,446640774,69
43659645,446640774,69
43659645,446640774,69
43659645,446640774,69
43571823,446357735,69
43573567,446361712,69
43573567,446361712,69
43573567,446361712,69
43573567,446361712,69
43591845,446368715,69
43586700,446366490,69
43581555,446369630,69
43581555,446369630,69
43568379,446359920,69
43591583,446354879,70
43593380,446361808,70
43585241,446366799,70
43592221,446369595,70
43568379,446359920,70
43568379,446359920,70
43583688,446360765,70
43583688,446360765,70
43671132,446600508,71
43597015,446352621,71
43597015,446352621,71
43579734,446363621,71
43579734,446363621,71
43579734,446363621,71
43579734,446363621,71
43584720,446362593,71
43583027,446370493,71
43585241,446366799,71
43571018,446363724,71
43583688,446360765,71
43583688,446360765,71
43583688,446360765,71
43583688,446360765,71
43583688,446360765,71
43633913,446630455,72
43597015,446352621,72
43597015,446352621,72
43582032,446366370,72
43571018,446363724,72
43571018,446363724,72
43571018,446363724,72
43581555,446369630,72
43581555,446369630,72
43568379,446359920,72
43583688,446360765,72
43697838,446529352,73
43671132,446600508,73
43671132,446600508,73
43671132,446600508,73
43589670,446354700,73
43593380,446361808,73
43593380,446361808,73
43595108,446359239,73
43582032,446366370,73
43578297,446371172,73
43581425,446374421,73
43581105,446362299,73
43568379,446359920,73
43654221,446640389,74
43654221,446640389,74
43654221,446640389,74
43654221,446640389,74
43654221,446640389,74
43654221,446640389,74
43654221,446640389,74
43654221,446640389,74
43654221,446640389,74
43654221,446640389,74
43654221,446640389,74
43654221,446640389,74
43654221,446640389,74
43654221,446640389,74
43659645,446640774,74
43659645,446640774,74
43659645,446640774,74
43659645,446640774,74
43659645,446640774,74
43659645,446640774,74
43659645,446640774,74
43659645,446640774,74
43659645,446640774,74
43659645,446640774,74
43659645,446640774,74
43659645,446640774,74
43659645,446640774,74
43659645,446640774,74
43659645,446640774,74
43659645,446640774,74
43659645,446640774,74
43659645,446640774,74
43659645,446640774,74
43671132,446600508,74
43671132,446600508,74
43671132,446600508,74
43593615,446371139,74
43600746,446366721,74
43574679,446366333,74
43577143,446374086,74
43577143,446374086,74
43573045,446362454,74
43593346,446355621,74
43586700,446366490,74
43579307,446361638,74
43579307,446361638,74
43572957,446365471,74
43697838,446529352,75
43654221,446640389,75
43654221,446640389,75
43654221,446640389,75
43654221,446640389,75
43654221,446640389,75
43654221,446640389,75
43654221,446640389,75
43654221,446640389,75
43654221,446640389,75
43654221,446640389,75
43654221,446640389,75
43654221,446640389,75
43654221,446640389,75
43654221,446640389,75
43654221,446640389,75
43654221,446640389,75
43654221,446640389,75
43654221,446640389,75
43654221,446640389,75
43654221,446640389,75
43654221,446640389,75
43654221,446640389,75
43654221,446640389,75
43654221,446640389,75
43589670,446354700,75
43596043,446351554,75
43593615,446371139,75
43598036,446364481,75
43575169,446370621,75
43575169,446370621,75
43582032,446366370,75
43594968,446367555,75
43594968,446367555,75
43581425,446374421,75
43575106,446364196,75
43568379,446359920,75
43654221,446640389,76
43654221,446640389,76
43654221,446640389,76
43654221,446640389,76
43654221,446640389,76
43654221,446640389,76
43654221,446640389,76
43654221,446640389,76
43600746,446366721,76
43579734,446363621,76
43579734,446363621,76
43576388,446363416,76
43589233,446362185,76
43593346,446355621,76
43584910,446354009,76
43568379,446359920,76
43568379,446359920,76
43588914,446358056,76
43588914,446358056,76
43585971,446362316,76
43585971,446362316,76
43693191,446536378,77
43693191,446536378,77
43697838,446529352,77
43697838,446529352,77
43596417,446358269,77
43583027,446370493,77
43571018,446363724,77
43580040,446365337,77
43585971,446362316,77
43706998,446540676,78
43706998,446540676,78
43706998,446540676,78
43706998,446540676,78
43706998,446540676,78
43706998,446540676,78
43633913,446630455,78
43671132,446600508,78
43671132,446600508,78
43671132,446600508,78
43671132,446600508,78
43581425,446374421,78
43581425,446374421,78
43597279,446355745,78
43568379,446359920,78
43583688,446360765,78
43572957,446365471,78
43580040,446365337,78
43677760,446542668,79
43677760,446542668,79
43677760,446542668,79
43677760,446542668,79
43677760,446542668,79
43677760,446542668,79
43677760,446542668,79
43677760,446542668,79
43677760,446542668,79
