d5;
90;106
120;92
153;138
140;140
153;135
172;150
159;167
177;166
195;166
195;163
207;185
245;190
245;211
230;201
230;215
253;185
217;175
254;232
221;222
214;191
163;177
185;160
192;182
189;171
212;183
229;191
212;207
217;199
182;184
195;186
174;195
173;162
152;174
167;184
184;171
185;172
176;162
157;209
195;186
203;203
232;257
252;252
245;278
293;307
261;324
276;331
315;342
310;359
357;344
307;334
321;329
281;321
247;294
258;306
279;313
296;381
264;317
285;315
274;320
279;265
209;234
240;205
207;193
157;202
169;186
159;208
191;168
143;168
130;169
132;158
164;160
127;127
121;124
115;95
88;86
83;80
51;72
54;43
70;53
35;40
37;37
43;40
27;32
24;33
26;39
20;40
22;30
24;42
10;23
12;28
11;19
8;19
4;15
1;12
2;7
6;28
